Sentence1,Sentence2,Sent1_entity,Sent2_entity,Sample,1_2_neut,1_2_cont,1_2_ent,1_2_Label,2_1_neut,2_1_cont,2_1_ent,2_1_Label,Type
This is an all suite hotel.,It was overpriced at this hotel.,a,b,0,0.9669936299324036,0.007547925692051649,0.025458412244915962,NEUTRAL,0.9974374771118164,0.0016184891574084759,0.0009439464192837477,NEUTRAL,ref
This is an all suite hotel.,The cleaning standards were only okay.,a,b,0,0.934660017490387,0.02620691806077957,0.03913310915231705,NEUTRAL,0.8629240393638611,0.10307307541370392,0.03400291129946709,NEUTRAL,ref
This is an all suite hotel.,This hotel isn't in a great location.,a,b,0,0.8743290901184082,0.11950605362653732,0.00616493122652173,NEUTRAL,0.9134896397590637,0.08440007269382477,0.0021103296894580126,NEUTRAL,ref
This is an all suite hotel.,It is outside of the old town.,a,b,0,0.9931274652481079,0.0014367791591212153,0.005435752682387829,NEUTRAL,0.977220356464386,0.01563457027077675,0.007145014591515064,NEUTRAL,ref
This is an all suite hotel.,Some good attractions are located in the old town.,a,b,0,0.8213489651679993,0.005657403729856014,0.17299365997314453,NEUTRAL,0.8060930371284485,0.0985952764749527,0.09531169384717941,NEUTRAL,ref
This is an all suite hotel.,It is somewhat nice to be away from the main strip.,a,b,0,0.9948410391807556,0.000628293608315289,0.004530671983957291,NEUTRAL,0.9374341368675232,0.03668748214840889,0.025878356769680977,NEUTRAL,ref
This is an all suite hotel.,It could have been closer to the main attractions.,a,b,0,0.9957963228225708,0.0023316717706620693,0.0018719943473115563,NEUTRAL,0.8711972236633301,0.09922423958778381,0.029578587040305138,NEUTRAL,ref
This is an all suite hotel.,Some of the staff were rude.,a,b,0,0.9921934008598328,0.003243977203965187,0.004562634974718094,NEUTRAL,0.891795814037323,0.10300453752279282,0.005199626088142395,NEUTRAL,ref
This is an all suite hotel.,Some of the staff were unhelpful.,a,b,0,0.9840540289878845,0.004316546954214573,0.011629397980868816,NEUTRAL,0.8537418842315674,0.14044590294361115,0.0058121997863054276,NEUTRAL,ref
This is an all suite hotel.,You can eat your breakfast at the outside restaurant when staying at this hotel.,a,b,0,0.9173980355262756,0.004603390581905842,0.07799852639436722,NEUTRAL,0.9955939650535583,0.0023611101787537336,0.0020449368748813868,NEUTRAL,ref
This is an all suite hotel.,Eating at the outside restaurant is really enjoyable.,a,b,0,0.9196689128875732,0.008308080025017262,0.07202301174402237,NEUTRAL,0.6931402683258057,0.22569537162780762,0.0811643898487091,NEUTRAL,ref
This is an all suite hotel.,This is a great stay.,a,b,0,0.8415025472640991,0.0021989578381180763,0.1562984436750412,NEUTRAL,0.9977868795394897,0.000885494111571461,0.0013275211676955223,NEUTRAL,ref
This is an all suite hotel.,You can ask for a reduced rate.,a,b,0,0.9922983050346375,0.0008287052623927593,0.006872957572340965,NEUTRAL,0.9790570735931396,0.014648200944066048,0.006294835824519396,NEUTRAL,ref
This is an all suite hotel.,The reduced rate is available for Florida residents.,a,b,0,0.9807650446891785,0.002841564826667309,0.016393424943089485,NEUTRAL,0.9816277623176575,0.013161888346076012,0.005210437811911106,NEUTRAL,ref
This is an all suite hotel.,The pool is really worth checking out.,a,b,0,0.9571999907493591,0.009966537356376648,0.03283339738845825,NEUTRAL,0.9773021936416626,0.011617333628237247,0.011080457828938961,NEUTRAL,ref
This is an all suite hotel.,The hot tub is also worth checking out.,a,b,0,0.994652271270752,0.0020170272327959538,0.0033306730911135674,NEUTRAL,0.9627926349639893,0.025834040716290474,0.011373315937817097,NEUTRAL,ref
The hotel is flawless.,It was overpriced at this hotel.,a,b,0,0.8684902191162109,0.12041518092155457,0.011094632558524609,NEUTRAL,0.0038129754830151796,0.9950001239776611,0.0011869660811498761,CONTRADICTION,ref
The hotel is flawless.,The cleaning standards were only okay.,a,b,0,0.5621058344841003,0.42314061522483826,0.014753523282706738,NEUTRAL,0.002912146272137761,0.9963425993919373,0.0007452421705238521,CONTRADICTION,ref
The hotel is flawless.,This hotel isn't in a great location.,a,b,0,0.06926260888576508,0.9279905557632446,0.0027467890176922083,CONTRADICTION,0.0003283430705778301,0.9995007514953613,0.00017091767222154886,CONTRADICTION,ref
The hotel is flawless.,It is outside of the old town.,a,b,0,0.9878563284873962,0.0035668339114636183,0.008576834574341774,NEUTRAL,0.9726459980010986,0.024752629920840263,0.0026012766174972057,NEUTRAL,ref
The hotel is flawless.,Some good attractions are located in the old town.,a,b,0,0.9303248524665833,0.004191996995359659,0.06548308581113815,NEUTRAL,0.5319567322731018,0.4580058753490448,0.010037329979240894,NEUTRAL,ref
The hotel is flawless.,It is somewhat nice to be away from the main strip.,a,b,0,0.9968478083610535,0.0006758521194569767,0.0024763173423707485,NEUTRAL,0.8544209003448486,0.1407526135444641,0.004826513584703207,NEUTRAL,ref
The hotel is flawless.,It could have been closer to the main attractions.,a,b,0,0.9769302606582642,0.021419856697320938,0.0016498452750965953,NEUTRAL,0.07232266664505005,0.9230019450187683,0.004675360396504402,CONTRADICTION,ref
The hotel is flawless.,Some of the staff were rude.,a,b,0,0.6544137001037598,0.34254366159439087,0.0030426038429141045,NEUTRAL,0.0006078059668652713,0.9992383718490601,0.00015376861847471446,CONTRADICTION,ref
The hotel is flawless.,Some of the staff were unhelpful.,a,b,0,0.3341169059276581,0.6624952554702759,0.0033877838868647814,CONTRADICTION,0.0007252460345625877,0.9990811347961426,0.00019368263019714504,CONTRADICTION,ref
The hotel is flawless.,You can eat your breakfast at the outside restaurant when staying at this hotel.,a,b,0,0.9524813294410706,0.0018239960772916675,0.04569469392299652,NEUTRAL,0.9632379412651062,0.02672569267451763,0.010036312974989414,NEUTRAL,ref
The hotel is flawless.,Eating at the outside restaurant is really enjoyable.,a,b,0,0.957790195941925,0.008259419351816177,0.033950403332710266,NEUTRAL,0.5540846586227417,0.42892467975616455,0.01699071191251278,NEUTRAL,ref
The hotel is flawless.,This is a great stay.,a,b,0,0.7429752349853516,0.0017007479909807444,0.25532403588294983,NEUTRAL,0.977758526802063,0.0025457858573645353,0.019695738330483437,NEUTRAL,ref
The hotel is flawless.,You can ask for a reduced rate.,a,b,0,0.9915614724159241,0.0010313877137377858,0.007407145109027624,NEUTRAL,0.7725639939308167,0.2177245318889618,0.009711396880447865,NEUTRAL,ref
The hotel is flawless.,The reduced rate is available for Florida residents.,a,b,0,0.9242287874221802,0.004591738805174828,0.07117949426174164,NEUTRAL,0.5075278282165527,0.479214608669281,0.013257589191198349,NEUTRAL,ref
The hotel is flawless.,The pool is really worth checking out.,a,b,0,0.982623279094696,0.0056208278983831406,0.011755801737308502,NEUTRAL,0.7553633451461792,0.2333725392818451,0.011264177970588207,NEUTRAL,ref
The hotel is flawless.,The hot tub is also worth checking out.,a,b,0,0.9970853924751282,0.0015390340704470873,0.0013756396947428584,NEUTRAL,0.7243103981018066,0.2670639753341675,0.008625631220638752,NEUTRAL,ref
"Around the holidays season, the hotel was well decorated for X-mas.",It was overpriced at this hotel.,a,b,0,0.9447014927864075,0.0352732352912426,0.020025229081511497,NEUTRAL,0.9789146184921265,0.006418788339942694,0.014666707254946232,NEUTRAL,ref
