Sentence1,Sentence2,Sent1_entity,Sent2_entity,Sample,1_2_neut,1_2_cont,1_2_ent,1_2_Label,2_1_neut,2_1_cont,2_1_ent,2_1_Label,Type
Le Place D'Armes is an elegant historic building with a fantastic location.,This is a nice older hotel that doesn't have the glamour of a typical hotel.,a,b,20,0.8178157806396484,0.14360739290714264,0.03857683390378952,NEUTRAL,0.7177513241767883,0.27893632650375366,0.003312288550660014,NEUTRAL,gen
Le Place D'Armes is an elegant historic building with a fantastic location.,However it is well-located for business travel and a short walk to St Catherine Street where the shopping and restaurants are.,a,b,20,0.9771530628204346,0.0010041617788374424,0.02184278517961502,NEUTRAL,0.9964374303817749,0.001013395725749433,0.002549226861447096,NEUTRAL,gen
Le Place D'Armes is an elegant historic building with a fantastic location.,The room was slightly smaller than average although it was clean and with a slightly more modern decor than a typical Fairmont.,a,b,20,0.9954902529716492,0.0017767493845894933,0.0027330447919666767,NEUTRAL,0.9586678147315979,0.037760455161333084,0.003571796929463744,NEUTRAL,gen
Le Place D'Armes is an elegant historic building with a fantastic location.,The bed was comfortable but the bathroom was rather small.,a,b,20,0.9882487058639526,0.006122036371380091,0.0056291851215064526,NEUTRAL,0.9335289597511292,0.05035553127527237,0.016115572303533554,NEUTRAL,gen
Le Place D'Armes is an elegant historic building with a fantastic location.,The staff at this hotel seem to enjoy the Miller Harris citron toiletries.,a,b,20,0.9274083375930786,0.009142369031906128,0.06344921141862869,NEUTRAL,0.921804666519165,0.012640567496418953,0.06555473804473877,NEUTRAL,gen
Nice rooms with exposed brick and lovely touches like chocolates on the pillow and turn-down service.,This is a nice older hotel that doesn't have the glamour of a typical hotel.,a,b,20,0.6715061068534851,0.315839558839798,0.012654340825974941,NEUTRAL,0.1832420527935028,0.8126707077026367,0.004087292123585939,CONTRADICTION,gen
Nice rooms with exposed brick and lovely touches like chocolates on the pillow and turn-down service.,However it is well-located for business travel and a short walk to St Catherine Street where the shopping and restaurants are.,a,b,20,0.9964118599891663,0.0024013295769691467,0.0011868355795741081,NEUTRAL,0.13937710225582123,0.8562056422233582,0.004417249001562595,CONTRADICTION,gen
Nice rooms with exposed brick and lovely touches like chocolates on the pillow and turn-down service.,The room was slightly smaller than average although it was clean and with a slightly more modern decor than a typical Fairmont.,a,b,20,0.9965123534202576,0.0015152228297665715,0.001972401048988104,NEUTRAL,0.8074885010719299,0.18821881711483002,0.00429267343133688,NEUTRAL,gen
Nice rooms with exposed brick and lovely touches like chocolates on the pillow and turn-down service.,The bed was comfortable but the bathroom was rather small.,a,b,20,0.99662184715271,0.002535967156291008,0.0008421656675636768,NEUTRAL,0.4166675806045532,0.5591919422149658,0.024140484631061554,CONTRADICTION,gen
Nice rooms with exposed brick and lovely touches like chocolates on the pillow and turn-down service.,The staff at this hotel seem to enjoy the Miller Harris citron toiletries.,a,b,20,0.9940779209136963,0.0038434003945440054,0.002078674966469407,NEUTRAL,0.3626866936683655,0.6165744662284851,0.020738858729600906,CONTRADICTION,gen
