Sentence1,Sentence2,Sent1_entity,Sent2_entity,Sample,1_2_neut,1_2_cont,1_2_ent,1_2_Label,2_1_neut,2_1_cont,2_1_ent,2_1_Label,Type
"

This hotel is ideal for those who want to get away from the hustle and bustle of life; it lies in close proximity to the beach and is set up perfectly for peace and quiet.","

This hotel was somewhat pricey and its cleaning standards were just passable.",a,b,0,0.994515061378479,0.004385819658637047,0.001099186483770609,NEUTRAL,0.887941300868988,0.10893471539020538,0.0031240140087902546,NEUTRAL,ref
"

This hotel is ideal for those who want to get away from the hustle and bustle of life; it lies in close proximity to the beach and is set up perfectly for peace and quiet.","Unfortunately, it's not in a great spot because it's away from the old town - home to some of the better attractions.",a,b,0,0.0582154281437397,0.9405481815338135,0.0012363571440801024,CONTRADICTION,0.015393280424177647,0.9837527275085449,0.0008540208218619227,CONTRADICTION,ref
"

This hotel is ideal for those who want to get away from the hustle and bustle of life; it lies in close proximity to the beach and is set up perfectly for peace and quiet.","On the plus side, however, it's away from the hustle and bustle.",a,b,0,0.7585241198539734,0.0034579774364829063,0.23801791667938232,NEUTRAL,0.9916792511940002,0.0011330674169585109,0.007187571842223406,NEUTRAL,ref
"

This hotel is ideal for those who want to get away from the hustle and bustle of life; it lies in close proximity to the beach and is set up perfectly for peace and quiet.",The staff was not particularly friendly or helpful.,a,b,0,0.763450026512146,0.2340439110994339,0.002506053075194359,NEUTRAL,0.4923152029514313,0.501152515411377,0.00653226301074028,CONTRADICTION,ref
"

This hotel is ideal for those who want to get away from the hustle and bustle of life; it lies in close proximity to the beach and is set up perfectly for peace and quiet.","Breakfast can be had at the outdoor restaurant, which can be quite nice, and if you are a Florida resident you may be able to get a discounted rate.",a,b,0,0.9969571828842163,0.0007192131015472114,0.0023235445842146873,NEUTRAL,0.9836365580558777,0.0024281679652631283,0.013935208320617676,NEUTRAL,ref
"

This hotel is ideal for those who want to get away from the hustle and bustle of life; it lies in close proximity to the beach and is set up perfectly for peace and quiet.",The pool and hot tub are worth checking out.,a,b,0,0.9973874688148499,0.0008214317495003343,0.0017911313334479928,NEUTRAL,0.9785869717597961,0.00327598350122571,0.01813710853457451,NEUTRAL,ref
"

This hotel is ideal for those who want to get away from the hustle and bustle of life; it lies in close proximity to the beach and is set up perfectly for peace and quiet.","All-in-all, it's still a decent stay.",a,b,0,0.9917591214179993,0.0009367233142256737,0.007304154336452484,NEUTRAL,0.9963962435722351,0.0011621150188148022,0.002441629534587264,NEUTRAL,ref
"Its suites boast modern decor, ample storage space, comfortable beds and large bathrooms with nice vanity areas.","

This hotel was somewhat pricey and its cleaning standards were just passable.",a,b,0,0.917637288570404,0.07900781184434891,0.0033548891078680754,NEUTRAL,0.9267628788948059,0.03121952898800373,0.042017631232738495,NEUTRAL,ref
"Its suites boast modern decor, ample storage space, comfortable beds and large bathrooms with nice vanity areas.","Unfortunately, it's not in a great spot because it's away from the old town - home to some of the better attractions.",a,b,0,0.9059449434280396,0.0925910472869873,0.0014640225563198328,NEUTRAL,0.31098708510398865,0.6865594983100891,0.002453401917591691,CONTRADICTION,ref
"Its suites boast modern decor, ample storage space, comfortable beds and large bathrooms with nice vanity areas.","On the plus side, however, it's away from the hustle and bustle.",a,b,0,0.9967412352561951,0.0023143829312175512,0.0009444387396797538,NEUTRAL,0.9946744441986084,0.0009845943422988057,0.004340842366218567,NEUTRAL,ref
"Its suites boast modern decor, ample storage space, comfortable beds and large bathrooms with nice vanity areas.",The staff was not particularly friendly or helpful.,a,b,0,0.4316869080066681,0.5666124224662781,0.0017006542766466737,CONTRADICTION,0.1216471791267395,0.8722191452980042,0.006133686285465956,CONTRADICTION,ref
