Sentence1,Sentence2,Sent1_entity,Sent2_entity,Sample,1_2_neut,1_2_cont,1_2_ent,1_2_Label,2_1_neut,2_1_cont,2_1_ent,2_1_Label,Type
The hotel has conference rooms available to rent out for conferences and corporate events.,The hotel is especially memorable during a winter stay.,a,b,20,0.997774064540863,0.000785714655648917,0.001440156134776771,neutral,0.9977555871009827,0.0011975070228800178,0.0010468814289197326,neutral,ref
The hotel has conference rooms available to rent out for conferences and corporate events.,The room was okay but on the small side including the bathroom as well.,a,b,20,0.9963729381561279,0.0015052652452141047,0.0021217886824160814,neutral,0.9975589513778687,0.0013525892281904817,0.0010884541552513838,neutral,ref
The hotel has conference rooms available to rent out for conferences and corporate events.,After upgrading rooms to a suite this was absolutely fine and had a great view with modern decor.,a,b,20,0.9929779171943665,0.004445943981409073,0.0025760983116924763,neutral,0.9966995120048523,0.002559007378295064,0.0007414573337882757,neutral,ref
The hotel has conference rooms available to rent out for conferences and corporate events.,Whilst the breakfast and dinners are both quite expensive they're really great and tasty.,a,b,20,0.9946488738059998,0.0031767336186021566,0.002174349967390299,neutral,0.997215986251831,0.0017178277485072613,0.001066126162186265,neutral,ref
The hotel has conference rooms available to rent out for conferences and corporate events.,"But a coffee maker and coffee was not free of charge, which is unusual.",a,b,20,0.9860103130340576,0.001261052442714572,0.012728673405945301,neutral,0.9966476559638977,0.002618128666654229,0.0007341565215028822,neutral,ref
The hotel has conference rooms available to rent out for conferences and corporate events.,Whilst the toiletries were really great there was an issue with the toilet.,a,b,20,0.7755839824676514,0.004811656661331654,0.21960438787937164,neutral,0.9008262753486633,0.08453676849603653,0.014636892825365067,neutral,ref
"The location of this hotel makes it easy to access restaurants, the river and shops.",The hotel is especially memorable during a winter stay.,a,b,20,0.9977935552597046,0.0009205100359395146,0.0012859692797064781,neutral,0.9977043271064758,0.0010707161854952574,0.0012249702122062445,neutral,ref
"The location of this hotel makes it easy to access restaurants, the river and shops.",The room was okay but on the small side including the bathroom as well.,a,b,20,0.8094580173492432,0.18735025823116302,0.003191686002537608,neutral,0.9974023103713989,0.0017925932770594954,0.0008051138138398528,neutral,ref
"The location of this hotel makes it easy to access restaurants, the river and shops.",After upgrading rooms to a suite this was absolutely fine and had a great view with modern decor.,a,b,20,0.9977019429206848,0.0009598351316526532,0.0013382614124566317,neutral,0.9971073269844055,0.002139998134225607,0.0007527461275458336,neutral,ref
"The location of this hotel makes it easy to access restaurants, the river and shops.",Whilst the breakfast and dinners are both quite expensive they're really great and tasty.,a,b,20,0.9977476000785828,0.0011583102168515325,0.001094076898880303,neutral,0.9967039227485657,0.0016664108261466026,0.0016296396497637033,neutral,ref
"The location of this hotel makes it easy to access restaurants, the river and shops.","But a coffee maker and coffee was not free of charge, which is unusual.",a,b,20,0.8038729429244995,0.17086072266101837,0.025266330689191818,neutral,0.9921934604644775,0.007123193237930536,0.0006832743529230356,neutral,ref
"The location of this hotel makes it easy to access restaurants, the river and shops.",Whilst the toiletries were really great there was an issue with the toilet.,a,b,20,0.8745430111885071,0.035006966441869736,0.09045005589723587,neutral,0.9497997760772705,0.04656532034277916,0.0036349419970065355,neutral,ref
The rooms are a good size and well decorated.,The hotel is especially memorable during a winter stay.,a,b,20,0.9975710511207581,0.0007211100310087204,0.0017078639939427376,neutral,0.9977813363075256,0.0010310877114534378,0.001187632791697979,neutral,ref
The rooms are a good size and well decorated.,The room was okay but on the small side including the bathroom as well.,a,b,20,0.2623007595539093,0.7350305914878845,0.002668604953214526,contradiction,0.9352121353149414,0.050782460719347,0.014005384407937527,neutral,ref
The rooms are a good size and well decorated.,After upgrading rooms to a suite this was absolutely fine and had a great view with modern decor.,a,b,20,0.4917658865451813,0.0014023383846506476,0.5068317651748657,entailment,0.997729480266571,0.0007721344591118395,0.0014983778819441795,neutral,ref
The rooms are a good size and well decorated.,Whilst the breakfast and dinners are both quite expensive they're really great and tasty.,a,b,20,0.9977935552597046,0.0008142389706335962,0.0013921986101195216,neutral,0.9963668584823608,0.0029372856952250004,0.0006958554731681943,neutral,ref
The rooms are a good size and well decorated.,"But a coffee maker and coffee was not free of charge, which is unusual.",a,b,20,0.9872143268585205,0.008408299647271633,0.004377356264740229,neutral,0.9885718822479248,0.010608265176415443,0.0008198065333999693,neutral,ref
The rooms are a good size and well decorated.,Whilst the toiletries were really great there was an issue with the toilet.,a,b,20,0.9748896956443787,0.020813923329114914,0.0042963880114257336,neutral,0.987118124961853,0.012127391993999481,0.0007544711115770042,neutral,ref
The bathroom in the hotel was large and with a large bathtub.,The hotel is especially memorable during a winter stay.,a,b,20,0.997852087020874,0.0010149626759812236,0.001132975798100233,neutral,0.9977414608001709,0.0009561632759869099,0.0013023322680965066,neutral,ref
The bathroom in the hotel was large and with a large bathtub.,The room was okay but on the small side including the bathroom as well.,a,b,20,0.019499214366078377,0.9798178672790527,0.0006829042686149478,contradiction,0.832632303237915,0.13038738071918488,0.0369802862405777,neutral,ref
The bathroom in the hotel was large and with a large bathtub.,After upgrading rooms to a suite this was absolutely fine and had a great view with modern decor.,a,b,20,0.9977339506149292,0.0012093294644728303,0.0010566413402557373,neutral,0.9978093504905701,0.0008283888455480337,0.001362321898341179,neutral,ref
The bathroom in the hotel was large and with a large bathtub.,Whilst the breakfast and dinners are both quite expensive they're really great and tasty.,a,b,20,0.9642705321311951,0.030034737661480904,0.00569471949711442,neutral,0.99744713306427,0.0017124218866229057,0.0008405102998949587,neutral,ref
The bathroom in the hotel was large and with a large bathtub.,"But a coffee maker and coffee was not free of charge, which is unusual.",a,b,20,0.8694304823875427,0.0973229631781578,0.03324659541249275,neutral,0.9902905821800232,0.008830159902572632,0.0008792413282208145,neutral,ref
The bathroom in the hotel was large and with a large bathtub.,Whilst the toiletries were really great there was an issue with the toilet.,a,b,20,0.787480354309082,0.21031339466571808,0.002206220291554928,neutral,0.9973528385162354,0.0018336445791646838,0.000813527381978929,neutral,ref
Small touches like a chocolate on the pillow are also nice.,The hotel is especially memorable during a winter stay.,a,b,20,0.9976820945739746,0.0012537960428744555,0.0010641078697517514,neutral,0.9978030323982239,0.0009630959248170257,0.0012338230153545737,neutral,ref
Small touches like a chocolate on the pillow are also nice.,The room was okay but on the small side including the bathroom as well.,a,b,20,0.9969837069511414,0.0022460389882326126,0.0007702979492023587,neutral,0.9953410625457764,0.0037570546846836805,0.0009019093704409897,neutral,ref
Small touches like a chocolate on the pillow are also nice.,After upgrading rooms to a suite this was absolutely fine and had a great view with modern decor.,a,b,20,0.997639536857605,0.0012859492562711239,0.001074531814083457,neutral,0.9921782612800598,0.006792108528316021,0.0010297036496922374,neutral,ref
Small touches like a chocolate on the pillow are also nice.,Whilst the breakfast and dinners are both quite expensive they're really great and tasty.,a,b,20,0.9974699020385742,0.00160582410171628,0.0009242748492397368,neutral,0.993768572807312,0.005560174118727446,0.0006712310714647174,neutral,ref
Small touches like a chocolate on the pillow are also nice.,"But a coffee maker and coffee was not free of charge, which is unusual.",a,b,20,0.9951802492141724,0.004119460470974445,0.0007003018981777132,neutral,0.860636830329895,0.13735447824001312,0.0020086653530597687,neutral,ref
Small touches like a chocolate on the pillow are also nice.,Whilst the toiletries were really great there was an issue with the toilet.,a,b,20,0.9974170923233032,0.0017201702576130629,0.0008626669878140092,neutral,0.8239754438400269,0.17313039302825928,0.002894133562222123,neutral,ref
The hotel has a roof terrace for drinks.,The hotel is especially memorable during a winter stay.,a,b,20,0.9978644251823425,0.0009748887969180942,0.0011607620399445295,neutral,0.9977589845657349,0.0009939747396856546,0.001246997038833797,neutral,ref
The hotel has a roof terrace for drinks.,The room was okay but on the small side including the bathroom as well.,a,b,20,0.9173360466957092,0.0811871588230133,0.0014767837710678577,neutral,0.9941552877426147,0.004999761004000902,0.0008449408342130482,neutral,ref
The hotel has a roof terrace for drinks.,After upgrading rooms to a suite this was absolutely fine and had a great view with modern decor.,a,b,20,0.9969056248664856,0.00164793711155653,0.0014464602572843432,neutral,0.997570812702179,0.0011960366973653436,0.001233136048540473,neutral,ref
The hotel has a roof terrace for drinks.,Whilst the breakfast and dinners are both quite expensive they're really great and tasty.,a,b,20,0.9922865629196167,0.006337098777294159,0.0013763013994321227,neutral,0.9974017143249512,0.0015784204006195068,0.0010198581730946898,neutral,ref
The hotel has a roof terrace for drinks.,"But a coffee maker and coffee was not free of charge, which is unusual.",a,b,20,0.9441061615943909,0.054184310138225555,0.0017095479415729642,neutral,0.9964321851730347,0.0028189707081764936,0.0007488426053896546,neutral,ref
The hotel has a roof terrace for drinks.,Whilst the toiletries were really great there was an issue with the toilet.,a,b,20,0.499106228351593,0.1415734589099884,0.3593203127384186,neutral,0.8833677768707275,0.09847739338874817,0.018154799938201904,neutral,ref
Unfortunately the hotel is missing the availability of a pool.,The hotel is especially memorable during a winter stay.,a,b,20,0.43012404441833496,0.5675972104072571,0.0022786520421504974,contradiction,0.898409366607666,0.09946256130933762,0.002128101885318756,neutral,ref
Unfortunately the hotel is missing the availability of a pool.,The room was okay but on the small side including the bathroom as well.,a,b,20,0.9445086121559143,0.04320916905999184,0.012282208539545536,neutral,0.985273540019989,0.013418530113995075,0.0013079249765723944,neutral,ref
Unfortunately the hotel is missing the availability of a pool.,After upgrading rooms to a suite this was absolutely fine and had a great view with modern decor.,a,b,20,0.6151735782623291,0.3819286823272705,0.002897717524319887,neutral,0.021512622013688087,0.9779791235923767,0.0005083018913865089,contradiction,ref
Unfortunately the hotel is missing the availability of a pool.,Whilst the breakfast and dinners are both quite expensive they're really great and tasty.,a,b,20,0.478994220495224,0.5176501274108887,0.003355681197717786,contradiction,0.9842925667762756,0.014577474445104599,0.0011299771722406149,neutral,ref
Unfortunately the hotel is missing the availability of a pool.,"But a coffee maker and coffee was not free of charge, which is unusual.",a,b,20,0.37810027599334717,0.5777096748352051,0.044189974665641785,contradiction,0.9438342452049255,0.054271019995212555,0.001894689630717039,neutral,ref
Unfortunately the hotel is missing the availability of a pool.,Whilst the toiletries were really great there was an issue with the toilet.,a,b,20,0.10253748297691345,0.8840094804763794,0.013453040271997452,contradiction,0.6390407681465149,0.346573144197464,0.014386030845344067,neutral,ref
The hotel has conference rooms available to rent out for conferences and corporate events.,The staff at the hotel were incredibly accommodating and the hotel was well located.,a,comm,20,0.9975202679634094,0.0007169348536990583,0.0017628070199862123,neutral,0.9976911544799805,0.0009415069944225252,0.0013673588400706649,neutral,ref
"The location of this hotel makes it easy to access restaurants, the river and shops.",The staff at the hotel were incredibly accommodating and the hotel was well located.,a,comm,20,0.9971441626548767,0.0005721332272514701,0.0022837005089968443,neutral,0.9976661205291748,0.0007648126338608563,0.0015690999571233988,neutral,ref
The rooms are a good size and well decorated.,The staff at the hotel were incredibly accommodating and the hotel was well located.,a,comm,20,0.9970038533210754,0.0005161273293197155,0.0024800244718790054,neutral,0.9974525570869446,0.0006344711873680353,0.0019129858119413257,neutral,ref
The bathroom in the hotel was large and with a large bathtub.,The staff at the hotel were incredibly accommodating and the hotel was well located.,a,comm,20,0.997671902179718,0.001027899794280529,0.0013002114137634635,neutral,0.9976062774658203,0.0006628697738051414,0.0017307838425040245,neutral,ref
Small touches like a chocolate on the pillow are also nice.,The staff at the hotel were incredibly accommodating and the hotel was well located.,a,comm,20,0.9977600574493408,0.0010625639697536826,0.001177349011413753,neutral,0.9971187114715576,0.0019388053333386779,0.0009425339521840215,neutral,ref
The hotel has a roof terrace for drinks.,The staff at the hotel were incredibly accommodating and the hotel was well located.,a,comm,20,0.9977990984916687,0.000991172855719924,0.0012096858117729425,neutral,0.997805655002594,0.0008139355923049152,0.0013803980546072125,neutral,ref
Unfortunately the hotel is missing the availability of a pool.,The staff at the hotel were incredibly accommodating and the hotel was well located.,a,comm,20,0.38963985443115234,0.6080411076545715,0.0023190737701952457,contradiction,0.27100399136543274,0.7269246578216553,0.0020713377743959427,contradiction,ref
The hotel is especially memorable during a winter stay.,The staff at the hotel were incredibly accommodating and the hotel was well located.,b,comm,20,0.9977619647979736,0.0009240566869266331,0.001313946326263249,neutral,0.9974493384361267,0.0005760809872299433,0.001974509796127677,neutral,ref
The room was okay but on the small side including the bathroom as well.,The staff at the hotel were incredibly accommodating and the hotel was well located.,b,comm,20,0.9964130520820618,0.0027780651580542326,0.0008089129696600139,neutral,0.9743505716323853,0.024771936237812042,0.000877473852597177,neutral,ref
After upgrading rooms to a suite this was absolutely fine and had a great view with modern decor.,The staff at the hotel were incredibly accommodating and the hotel was well located.,b,comm,20,0.9975918531417847,0.001257109921425581,0.0011511215707287192,neutral,0.9976710677146912,0.0006824478623457253,0.0016464389627799392,neutral,ref
Whilst the breakfast and dinners are both quite expensive they're really great and tasty.,The staff at the hotel were incredibly accommodating and the hotel was well located.,b,comm,20,0.9974853992462158,0.0015553717967122793,0.0009592439164407551,neutral,0.9977062940597534,0.0012762662954628468,0.0010174138005822897,neutral,ref
"But a coffee maker and coffee was not free of charge, which is unusual.",The staff at the hotel were incredibly accommodating and the hotel was well located.,b,comm,20,0.9953312277793884,0.003912175539880991,0.0007565417909063399,neutral,0.5945048928260803,0.4038401246070862,0.0016549222636967897,neutral,ref
Whilst the toiletries were really great there was an issue with the toilet.,The staff at the hotel were incredibly accommodating and the hotel was well located.,b,comm,20,0.9906219244003296,0.008673364296555519,0.0007047001854516566,neutral,0.7138705849647522,0.28368550539016724,0.002443962264806032,neutral,ref
Le Place D'Armes is an elegant historic building with a fantastic location.,This is a nice older hotel that doesn't have the glamour of a typical hotel.,a,b,20,0.6372544765472412,0.3594669699668884,0.0032785392832010984,neutral,0.40547582507133484,0.4513927400112152,0.14313144981861115,contradiction,gen
Le Place D'Armes is an elegant historic building with a fantastic location.,However it is well-located for business travel and a short walk to St Catherine Street where the shopping and restaurants are.,a,b,20,0.9976275563240051,0.0008302521309815347,0.001542170881293714,neutral,0.9971300959587097,0.0005446510040201247,0.0023253262042999268,neutral,gen
Le Place D'Armes is an elegant historic building with a fantastic location.,The room was slightly smaller than average although it was clean and with a slightly more modern decor than a typical Fairmont.,a,b,20,0.6667608022689819,0.3299390971660614,0.003300037933513522,neutral,0.9974276423454285,0.0017205419717356563,0.0008517467649653554,neutral,gen
