Sentence1,Sentence2,Sent1_entity,Sent2_entity,Sample,1_2_neut,1_2_cont,1_2_ent,1_2_Label,2_1_neut,2_1_cont,2_1_ent,2_1_Label,Type
The hotel has conference rooms available to rent out for conferences and corporate events.,The hotel is especially memorable during a winter stay.,a,b,20,0.9965805411338806,0.0012413051445037127,0.0021781637333333492,NEUTRAL,0.9851328134536743,0.0014037811197340488,0.013463499024510384,NEUTRAL,ref
The hotel has conference rooms available to rent out for conferences and corporate events.,The room was okay but on the small side including the bathroom as well.,a,b,20,0.9973983764648438,0.001196926343254745,0.0014046459691599011,NEUTRAL,0.9873177409172058,0.005042456556111574,0.007639782037585974,NEUTRAL,ref
The hotel has conference rooms available to rent out for conferences and corporate events.,After upgrading rooms to a suite this was absolutely fine and had a great view with modern decor.,a,b,20,0.9965541362762451,0.002648071153089404,0.0007978353532962501,NEUTRAL,0.9886903762817383,0.005755650345236063,0.00555395195260644,NEUTRAL,ref
The hotel has conference rooms available to rent out for conferences and corporate events.,Whilst the breakfast and dinners are both quite expensive they're really great and tasty.,a,b,20,0.994297206401825,0.003783537307754159,0.0019192859763279557,NEUTRAL,0.9801090359687805,0.00711472611874342,0.012776260264217854,NEUTRAL,ref
The hotel has conference rooms available to rent out for conferences and corporate events.,"But a coffee maker and coffee was not free of charge, which is unusual.",a,b,20,0.9865986108779907,0.009013374336063862,0.0043879966251552105,NEUTRAL,0.961168110370636,0.004654130432754755,0.03417773172259331,NEUTRAL,ref
The hotel has conference rooms available to rent out for conferences and corporate events.,Whilst the toiletries were really great there was an issue with the toilet.,a,b,20,0.9401998519897461,0.03738807141780853,0.022412031888961792,NEUTRAL,0.7701173424720764,0.007595052942633629,0.2222876250743866,NEUTRAL,ref
"The location of this hotel makes it easy to access restaurants, the river and shops.",The hotel is especially memorable during a winter stay.,a,b,20,0.9962568283081055,0.0008828378631733358,0.0028603016398847103,NEUTRAL,0.9747640490531921,0.0027586640790104866,0.02247733250260353,NEUTRAL,ref
"The location of this hotel makes it easy to access restaurants, the river and shops.",The room was okay but on the small side including the bathroom as well.,a,b,20,0.9934595823287964,0.004002213943749666,0.0025382274761795998,NEUTRAL,0.9142444729804993,0.033655986189842224,0.05209953710436821,NEUTRAL,ref
"The location of this hotel makes it easy to access restaurants, the river and shops.",After upgrading rooms to a suite this was absolutely fine and had a great view with modern decor.,a,b,20,0.9960099458694458,0.0026610041968524456,0.0013290185015648603,NEUTRAL,0.9966632723808289,0.0012058233842253685,0.002130909124389291,NEUTRAL,ref
"The location of this hotel makes it easy to access restaurants, the river and shops.",Whilst the breakfast and dinners are both quite expensive they're really great and tasty.,a,b,20,0.9975685477256775,0.0012743694242089987,0.001157113118097186,NEUTRAL,0.9858564138412476,0.0043030958622694016,0.009840457700192928,NEUTRAL,ref
"The location of this hotel makes it easy to access restaurants, the river and shops.","But a coffee maker and coffee was not free of charge, which is unusual.",a,b,20,0.979599118232727,0.015805594623088837,0.004595323000103235,NEUTRAL,0.8991715908050537,0.01889040693640709,0.08193797618150711,NEUTRAL,ref
"The location of this hotel makes it easy to access restaurants, the river and shops.",Whilst the toiletries were really great there was an issue with the toilet.,a,b,20,0.9552988409996033,0.0320967435836792,0.012604461051523685,NEUTRAL,0.7380220293998718,0.022976912558078766,0.2390010505914688,NEUTRAL,ref
The rooms are a good size and well decorated.,The hotel is especially memorable during a winter stay.,a,b,20,0.9786503314971924,0.0020488500595092773,0.01930076628923416,NEUTRAL,0.9855536818504333,0.0010694328229874372,0.013376799412071705,NEUTRAL,ref
The rooms are a good size and well decorated.,The room was okay but on the small side including the bathroom as well.,a,b,20,0.7558026313781738,0.21994735300540924,0.024250030517578125,NEUTRAL,0.07440787553787231,0.9238175749778748,0.0017745780060067773,CONTRADICTION,ref
The rooms are a good size and well decorated.,After upgrading rooms to a suite this was absolutely fine and had a great view with modern decor.,a,b,20,0.9900861382484436,0.0026326789520680904,0.007281121332198381,NEUTRAL,0.6898449659347534,0.0012587066739797592,0.30889633297920227,NEUTRAL,ref
The rooms are a good size and well decorated.,Whilst the breakfast and dinners are both quite expensive they're really great and tasty.,a,b,20,0.9859472513198853,0.007662997115403414,0.006389735732227564,NEUTRAL,0.9963698387145996,0.0012400548439472914,0.002390162320807576,NEUTRAL,ref
The rooms are a good size and well decorated.,"But a coffee maker and coffee was not free of charge, which is unusual.",a,b,20,0.9579402208328247,0.011582148261368275,0.03047759272158146,NEUTRAL,0.9815636873245239,0.016548264771699905,0.0018881153082475066,NEUTRAL,ref
The rooms are a good size and well decorated.,Whilst the toiletries were really great there was an issue with the toilet.,a,b,20,0.9529988169670105,0.03033987432718277,0.016661308705806732,NEUTRAL,0.9829069972038269,0.006297564134001732,0.010795528069138527,NEUTRAL,ref
The bathroom in the hotel was large and with a large bathtub.,The hotel is especially memorable during a winter stay.,a,b,20,0.9951114058494568,0.0009728872682899237,0.0039157625287771225,NEUTRAL,0.9781670570373535,0.002649845788255334,0.019183102995157242,NEUTRAL,ref
The bathroom in the hotel was large and with a large bathtub.,The room was okay but on the small side including the bathroom as well.,a,b,20,0.7409974336624146,0.18300186097621918,0.07600068300962448,NEUTRAL,0.010518200695514679,0.9889985918998718,0.0004831393307540566,CONTRADICTION,ref
The bathroom in the hotel was large and with a large bathtub.,After upgrading rooms to a suite this was absolutely fine and had a great view with modern decor.,a,b,20,0.9917859435081482,0.004727364517748356,0.00348670594394207,NEUTRAL,0.9969461560249329,0.001547926920466125,0.0015059473225846887,NEUTRAL,ref
The bathroom in the hotel was large and with a large bathtub.,Whilst the breakfast and dinners are both quite expensive they're really great and tasty.,a,b,20,0.9908725619316101,0.005065118428319693,0.004062309395521879,NEUTRAL,0.9901424050331116,0.007075155153870583,0.002782477531582117,NEUTRAL,ref
The bathroom in the hotel was large and with a large bathtub.,"But a coffee maker and coffee was not free of charge, which is unusual.",a,b,20,0.972609281539917,0.01473712082952261,0.012653656303882599,NEUTRAL,0.9628508687019348,0.021625449880957603,0.015523684211075306,NEUTRAL,ref
The bathroom in the hotel was large and with a large bathtub.,Whilst the toiletries were really great there was an issue with the toilet.,a,b,20,0.993775486946106,0.0041519710794091225,0.0020726157817989588,NEUTRAL,0.9058796763420105,0.09074044227600098,0.0033798988442867994,NEUTRAL,ref
Small touches like a chocolate on the pillow are also nice.,The hotel is especially memorable during a winter stay.,a,b,20,0.9964491128921509,0.001421669265255332,0.0021292639430612326,NEUTRAL,0.9942721128463745,0.0014534032670781016,0.0042745452374219894,NEUTRAL,ref
Small touches like a chocolate on the pillow are also nice.,The room was okay but on the small side including the bathroom as well.,a,b,20,0.9871121048927307,0.008204865269362926,0.004682983737438917,NEUTRAL,0.995110809803009,0.0035022671800106764,0.001387007418088615,NEUTRAL,ref
Small touches like a chocolate on the pillow are also nice.,After upgrading rooms to a suite this was absolutely fine and had a great view with modern decor.,a,b,20,0.9586854577064514,0.038689713925123215,0.0026248495560139418,NEUTRAL,0.9972472786903381,0.001048381789587438,0.0017042254330590367,NEUTRAL,ref
Small touches like a chocolate on the pillow are also nice.,Whilst the breakfast and dinners are both quite expensive they're really great and tasty.,a,b,20,0.9803282618522644,0.016601620241999626,0.003070154460147023,NEUTRAL,0.9961236119270325,0.0018975520506501198,0.0019788595382124186,NEUTRAL,ref
Small touches like a chocolate on the pillow are also nice.,"But a coffee maker and coffee was not free of charge, which is unusual.",a,b,20,0.9740229249000549,0.021010814234614372,0.0049662659876048565,NEUTRAL,0.9930387139320374,0.005732760298997164,0.0012285009725019336,NEUTRAL,ref
Small touches like a chocolate on the pillow are also nice.,Whilst the toiletries were really great there was an issue with the toilet.,a,b,20,0.9046282768249512,0.08748622983694077,0.007885463535785675,NEUTRAL,0.9959089756011963,0.0026566169690340757,0.001434403471648693,NEUTRAL,ref
The hotel has a roof terrace for drinks.,The hotel is especially memorable during a winter stay.,a,b,20,0.9918113946914673,0.0012431229697540402,0.006945538800209761,NEUTRAL,0.9826210141181946,0.0016201181570068002,0.015758831053972244,NEUTRAL,ref
The hotel has a roof terrace for drinks.,The room was okay but on the small side including the bathroom as well.,a,b,20,0.9792652130126953,0.005816041957587004,0.014918680302798748,NEUTRAL,0.9372908473014832,0.0590723492205143,0.0036367690190672874,NEUTRAL,ref
The hotel has a roof terrace for drinks.,After upgrading rooms to a suite this was absolutely fine and had a great view with modern decor.,a,b,20,0.9967650175094604,0.0015036010881885886,0.0017314017750322819,NEUTRAL,0.9904510378837585,0.003649370511993766,0.005899608600884676,NEUTRAL,ref
The hotel has a roof terrace for drinks.,Whilst the breakfast and dinners are both quite expensive they're really great and tasty.,a,b,20,0.9924037456512451,0.003755688201636076,0.0038406415842473507,NEUTRAL,0.9917542934417725,0.005182548426091671,0.0030630871187895536,NEUTRAL,ref
