Sentence1,Sentence2,Sent1_entity,Sent2_entity,Sample,1_2_neut,1_2_cont,1_2_ent,1_2_Label,2_1_neut,2_1_cont,2_1_ent,2_1_Label,Type
The hotel has conference rooms available to rent out for conferences and corporate events .,The hotel is especially memorable during a winter stay .,a,b,20,0.9964368343353271,0.0010024472139775753,0.002560756867751479,neutral,0.9969140291213989,0.0015329474117606878,0.0015529762022197247,neutral,ref
The hotel has conference rooms available to rent out for conferences and corporate events .,The room was okay but on the small side including the bathroom as well .,a,b,20,0.993984043598175,0.0027093002572655678,0.0033067092299461365,neutral,0.9972250461578369,0.0013828127412125468,0.0013922242214903235,neutral,ref
The hotel has conference rooms available to rent out for conferences and corporate events .,After upgrading rooms to a suite this was absolutely fine and had a great view with modern decor .,a,b,20,0.9869562387466431,0.009165548719465733,0.003878155490383506,neutral,0.9958439469337463,0.003305784659460187,0.0008502699201926589,neutral,ref
The hotel has conference rooms available to rent out for conferences and corporate events .,Whilst the breakfast and dinners are both quite expensive they 're really great and tasty .,a,b,20,0.9945579767227173,0.002850412856787443,0.0025916239246726036,neutral,0.9968505501747131,0.0018153389682993293,0.0013341119047254324,neutral,ref
The hotel has conference rooms available to rent out for conferences and corporate events .,"But a coffee maker and coffee was not free of charge , which is unusual .",a,b,20,0.983025312423706,0.0018598665483295918,0.015114868991076946,neutral,0.9956165552139282,0.0035258925054222345,0.0008575775427743793,neutral,ref
The hotel has conference rooms available to rent out for conferences and corporate events .,Whilst the toiletries were really great there was an issue with the toilet .,a,b,20,0.7980918884277344,0.00637452257797122,0.19553358852863312,neutral,0.8745723962783813,0.11106517165899277,0.014362483285367489,neutral,ref
"The location of this hotel makes it easy to access restaurants , the river and shops .",The hotel is especially memorable during a winter stay .,a,b,20,0.9966891407966614,0.001131859957240522,0.0021790575701743364,neutral,0.996845543384552,0.0013431047555059195,0.001811330788768828,neutral,ref
"The location of this hotel makes it easy to access restaurants , the river and shops .",The room was okay but on the small side including the bathroom as well .,a,b,20,0.7303684949874878,0.26626887917518616,0.0033626356162130833,neutral,0.9959126114845276,0.0029149551410228014,0.0011724134674295783,neutral,ref
"The location of this hotel makes it easy to access restaurants , the river and shops .",After upgrading rooms to a suite this was absolutely fine and had a great view with modern decor .,a,b,20,0.9975033402442932,0.0010495019378140569,0.0014471217291429639,neutral,0.9960696697235107,0.0028177693020552397,0.001112530822865665,neutral,ref
"The location of this hotel makes it easy to access restaurants , the river and shops .",Whilst the breakfast and dinners are both quite expensive they 're really great and tasty .,a,b,20,0.9972182512283325,0.0013144796248525381,0.0014672863762825727,neutral,0.996692419052124,0.0014686072245240211,0.0018389183096587658,neutral,ref
