Sentence1,Sentence2,Sent1_entity,Sent2_entity,Sample,1_2_neut,1_2_cont,1_2_ent,1_2_Label,2_1_neut,2_1_cont,2_1_ent,2_1_Label,Type
The hotel has conference rooms available to rent out for conferences and corporate events.,"

This hotel is located conveniently near restaurants, the river and shops, making it a great place to rent out for a conference or corporate event.",a,b,20,0.9975136518478394,0.000727800652384758,0.0017585724126547575,NEUTRAL,0.8228945732116699,0.0013817495200783014,0.17572364211082458,NEUTRAL,ref
The hotel has conference rooms available to rent out for conferences and corporate events.,The rooms are roomy and nicely outfitted.,a,b,20,0.9977284073829651,0.0009255421464331448,0.0013460080372169614,NEUTRAL,0.9488380551338196,0.0067551760002970695,0.04440677911043167,NEUTRAL,ref
The hotel has conference rooms available to rent out for conferences and corporate events.,"The bathrooms are especially large, some with bathtubs, and small amenities like a chocolate on the pillow make it feel especially homey.",a,b,20,0.9969911575317383,0.0010742123704403639,0.0019347091438248754,NEUTRAL,0.9934960603713989,0.002073709387332201,0.004430216271430254,NEUTRAL,ref
The hotel has conference rooms available to rent out for conferences and corporate events.,"For refreshment, there is a roof terrace bar.",a,b,20,0.9774995446205139,0.007918705232441425,0.014581766910851002,NEUTRAL,0.9298084378242493,0.007662318181246519,0.06252926588058472,NEUTRAL,ref
The hotel has conference rooms available to rent out for conferences and corporate events.,The only downside is the lack of a pool.,a,b,20,0.991337776184082,0.006556554697453976,0.0021056283731013536,NEUTRAL,0.9798386096954346,0.01676592230796814,0.0033954635728150606,NEUTRAL,ref
"The location of this hotel makes it easy to access restaurants, the river and shops.","

This hotel is located conveniently near restaurants, the river and shops, making it a great place to rent out for a conference or corporate event.",a,b,20,0.9917648434638977,0.00040715531213209033,0.007827975787222385,NEUTRAL,0.016373155638575554,0.000634803727734834,0.9829919934272766,ENTAILMENT,ref
"The location of this hotel makes it easy to access restaurants, the river and shops.",The rooms are roomy and nicely outfitted.,a,b,20,0.9966580867767334,0.0010588582372292876,0.0022830660454928875,NEUTRAL,0.9003058671951294,0.005998367443680763,0.09369572252035141,NEUTRAL,ref
"The location of this hotel makes it easy to access restaurants, the river and shops.","The bathrooms are especially large, some with bathtubs, and small amenities like a chocolate on the pillow make it feel especially homey.",a,b,20,0.993744432926178,0.0017177420668303967,0.004537815693765879,NEUTRAL,0.9927831888198853,0.00306511577218771,0.004151633940637112,NEUTRAL,ref
"The location of this hotel makes it easy to access restaurants, the river and shops.","For refreshment, there is a roof terrace bar.",a,b,20,0.9960338473320007,0.0016325833275914192,0.002333546057343483,NEUTRAL,0.9781073927879333,0.004203719552606344,0.017688853666186333,NEUTRAL,ref
"The location of this hotel makes it easy to access restaurants, the river and shops.",The only downside is the lack of a pool.,a,b,20,0.9803712964057922,0.014589237049221992,0.00503946328535676,NEUTRAL,0.8011438250541687,0.19413377344608307,0.004722346551716328,NEUTRAL,ref
The rooms are a good size and well decorated.,"

This hotel is located conveniently near restaurants, the river and shops, making it a great place to rent out for a conference or corporate event.",a,b,20,0.9962247610092163,0.0006318734376691282,0.0031433203257620335,NEUTRAL,0.9970165491104126,0.0006165872327983379,0.002366823609918356,NEUTRAL,ref
