,example_no,split,entity_a,entity_a_name,entity_b,entity_b_name,summ_type,summ_no,sent_id,complex_sent,simple_sent_id,simple_sent,negated_simple_sent,Completed
0,0,train,126127,Sheraton Suites Key West,209365,The Inn at Key West,refs_a,0,E000RA00N000,This all suite hotel is flawless.,E000RA00N000_000,This is an all suite hotel.,This hotel has no suites.,Yes
1,0,train,126127,Sheraton Suites Key West,209365,The Inn at Key West,refs_a,0,E000RA00N000,This all suite hotel is flawless.,E000RA00N000_001,The hotel is flawless.,The hotel is flawed.,Yes
2,0,train,126127,Sheraton Suites Key West,209365,The Inn at Key West,refs_a,0,E000RA00N001,"Around the holidays season, the hotel was well decorated for X-mas with lovely Palm trees and Christmas lights.",E000RA00N001_000,"Around the holidays season, the hotel was well decorated for X-mas.","Around the holiday season, the hotel is not decorated for X-mas.",Yes
3,0,train,126127,Sheraton Suites Key West,209365,The Inn at Key West,refs_a,0,E000RA00N001,"Around the holidays season, the hotel was well decorated for X-mas with lovely Palm trees and Christmas lights.",E000RA00N001_001,There were lovely Palm trees and Christmas lights.,There were no Palm trees or Christmas lights.,Yes
4,0,train,126127,Sheraton Suites Key West,209365,The Inn at Key West,refs_a,0,E000RA00N002,This hotel is so close to the beach and is perfectly located for peace and quiet.,E000RA00N002_000,This hotel is so close to the beach.,This hotel is so far from the beach.,Yes
5,0,train,126127,Sheraton Suites Key West,209365,The Inn at Key West,refs_a,0,E000RA00N002,This hotel is so close to the beach and is perfectly located for peace and quiet.,E000RA00N002_001,This hotel is perfectly located for peace and quiet.,This hotel is not perfectly located for peace and quiet.,Yes
6,0,train,126127,Sheraton Suites Key West,209365,The Inn at Key West,refs_a,0,E000RA00N003,"The airport and Duval street is only a short shuttle away, but downtown is quite far away.",E000RA00N003_000,The airport and Duval street are only a short shuttle away.,The airport and Duval street are very far away.,Yes
7,0,train,126127,Sheraton Suites Key West,209365,The Inn at Key West,refs_a,0,E000RA00N003,"The airport and Duval street is only a short shuttle away, but downtown is quite far away.",E000RA00N003_001,Downtown is quite far away.,Downtown is quite closeby.,Yes
8,0,train,126127,Sheraton Suites Key West,209365,The Inn at Key West,refs_a,0,E000RA00N004,Morden rooms with great size and a lot of storage space.,E000RA00N004_000,The rooms are modern.,The rooms are outdated.,Yes
9,0,train,126127,Sheraton Suites Key West,209365,The Inn at Key West,refs_a,0,E000RA00N004,Morden rooms with great size and a lot of storage space.,E000RA00N004_001,The rooms are of great size.,The rooms are of little size.,Need Help
10,0,train,126127,Sheraton Suites Key West,209365,The Inn at Key West,refs_a,0,E000RA00N004,Morden rooms with great size and a lot of storage space.,E000RA00N004_002,There is a lot of storage space.,There is not a lot of storage space.,Yes
11,0,train,126127,Sheraton Suites Key West,209365,The Inn at Key West,refs_a,0,E000RA00N005,The beds are super comfortable.,E000RA00N005_000,The beds are comfortable.,The beds are uncomfortable.,Yes
12,0,train,126127,Sheraton Suites Key West,209365,The Inn at Key West,refs_a,0,E000RA00N006,The bathroom is also pretty large with a nice vanity area.,E000RA00N006_000,The bathroom is pretty large.,The bathroom is pretty small.,Yes
13,0,train,126127,Sheraton Suites Key West,209365,The Inn at Key West,refs_a,0,E000RA00N006,The bathroom is also pretty large with a nice vanity area.,E000RA00N006_001,There is a nice vanity area.,There is no vanity area.,Yes
14,0,train,126127,Sheraton Suites Key West,209365,The Inn at Key West,refs_a,0,E000RA00N007,The staff were even willing to help with last minute late checkout request.,E000RA00N007_000,The staff were willing to help.,The staff were unwilling to help.,Yes
15,0,train,126127,Sheraton Suites Key West,209365,The Inn at Key West,refs_a,0,E000RA00N007,The staff were even willing to help with last minute late checkout request.,E000RA00N007_001,They were willing to help with a last minute late checkout request.,They did not agree to a last minute checkout request.,Yes
16,0,train,126127,Sheraton Suites Key West,209365,The Inn at Key West,refs_a,0,E000RA00N008,"The restaurant provides great food, but it closes too early for us.",E000RA00N008_000,The restaurant provides great food.,The restaurant provides awful food.,Yes
17,0,train,126127,Sheraton Suites Key West,209365,The Inn at Key West,refs_a,0,E000RA00N008,"The restaurant provides great food, but it closes too early for us.",E000RA00N008_001,The restaurant closes too early for us.,The restaurant stays open late.,Yes
18,0,train,126127,Sheraton Suites Key West,209365,The Inn at Key West,refs_a,0,E000RA00N009,The hotel actually has bikes to rent.,E000RA00N009_000,The hotel has bikes to rent.,The hotel has no bikes to rent.,Yes
19,0,train,126127,Sheraton Suites Key West,209365,The Inn at Key West,refs_a,0,E000RA00N010,Parking close-by can be very pricey per day.,E000RA00N010_000,Parking close-by can be very pricey.,Parking close-by is very light on the pocket.,Yes
20,0,train,126127,Sheraton Suites Key West,209365,The Inn at Key West,refs_a,0,E000RA00N010,Parking close-by can be very pricey per day.,E000RA00N010_001,The cost is per day.,The cost is not per day.,Yes
21,0,train,126127,Sheraton Suites Key West,209365,The Inn at Key West,refs_a,0,E000RA00N011,The elevators feel not safe.,E000RA00N011_000,The elevators do not feel safe.,The elevators do feel safe.,Yes
22,0,train,126127,Sheraton Suites Key West,209365,The Inn at Key West,refs_b,0,E000RB00N000,It was overpriced here at this hotel and the cleaning standards were only okay.,E000RB00N000_000,It was overpriced at this hotel.,,
23,0,train,126127,Sheraton Suites Key West,209365,The Inn at Key West,refs_b,0,E000RB00N000,It was overpriced here at this hotel and the cleaning standards were only okay.,E000RB00N000_001,The cleaning standards were only okay.,,
24,0,train,126127,Sheraton Suites Key West,209365,The Inn at Key West,refs_b,0,E000RB00N001,"This hotel isn't in a great location because it was outside of the old town, which is where some good attractions are.",E000RB00N001_000,This hotel isn't in a great location.,,
25,0,train,126127,Sheraton Suites Key West,209365,The Inn at Key West,refs_b,0,E000RB00N001,"This hotel isn't in a great location because it was outside of the old town, which is where some good attractions are.",E000RB00N001_001,It is outside of the old town.,,
26,0,train,126127,Sheraton Suites Key West,209365,The Inn at Key West,refs_b,0,E000RB00N001,"This hotel isn't in a great location because it was outside of the old town, which is where some good attractions are.",E000RB00N001_002,Some good attractions are located in the old town.,,
27,0,train,126127,Sheraton Suites Key West,209365,The Inn at Key West,refs_b,0,E000RB00N002,Whilst somewhat nice to be away from the main strip it could have been closer to the main attractions.,E000RB00N002_000,It is somewhat nice to be away from the main strip.,,
