Sentence1,Sentence2,Sent1_entity,Sent2_entity,Sample,1_2_neut,1_2_cont,1_2_ent,1_2_Label,2_1_neut,2_1_cont,2_1_ent,2_1_Label,Type
The Oceania hotel was recommended to us by Rick Steves and we couldn't have been more pleased with our stay.,"

We were thrilled with our visit to the Oceania Hotel, which was suggested to us by Rick Steves.",a,b,20,0.005616654176265001,0.0012038990389555693,0.993179440498352,ENTAILMENT,0.13697220385074615,0.00212455983273685,0.8609032034873962,ENTAILMENT,gen
The Oceania hotel was recommended to us by Rick Steves and we couldn't have been more pleased with our stay.,"It is conveniently located near the Piazza della Repubblica, next to the metro and just a few steps away from a hop on hop off city tour center.",a,b,20,0.9952549934387207,0.0016200942918658257,0.003124901792034507,NEUTRAL,0.9971542358398438,0.0014726909575983882,0.0013730897335335612,NEUTRAL,gen
The Oceania hotel was recommended to us by Rick Steves and we couldn't have been more pleased with our stay.,"The chambers are roomy and neat, containing a recently refurbished restroom.",a,b,20,0.9971994161605835,0.0006593961734324694,0.002141221659258008,NEUTRAL,0.9919970631599426,0.0037157393526285887,0.004287188872694969,NEUTRAL,gen
The Oceania hotel was recommended to us by Rick Steves and we couldn't have been more pleased with our stay.,"Although the bed wasn't particularly pleasant, the proprietor could converse in English fluently and provided us with restaurant tips.",a,b,20,0.33717137575149536,0.6607121229171753,0.002116419840604067,CONTRADICTION,0.09850095212459564,0.8998834490776062,0.001615643734112382,CONTRADICTION,gen
The Oceania hotel was recommended to us by Rick Steves and we couldn't have been more pleased with our stay.,"Sadly, there isn't any free Wi-Fi connection.",a,b,20,0.583755373954773,0.41406533122062683,0.0021792592015117407,NEUTRAL,0.46153131127357483,0.5356136560440063,0.0028549786657094955,CONTRADICTION,gen
"The hotel is in an excellent location, on a quiet side street just off the Piazza della Repubblica, close to the metro and a step-on, step-off city tour bus stop.","

We were thrilled with our visit to the Oceania Hotel, which was suggested to us by Rick Steves.",a,b,20,0.997657299041748,0.0008221269818022847,0.0015205797972157598,NEUTRAL,0.9706358909606934,0.0026120548136532307,0.026752062141895294,NEUTRAL,gen
"The hotel is in an excellent location, on a quiet side street just off the Piazza della Repubblica, close to the metro and a step-on, step-off city tour bus stop.","It is conveniently located near the Piazza della Repubblica, next to the metro and just a few steps away from a hop on hop off city tour center.",a,b,20,0.028345121070742607,0.000667774525936693,0.97098708152771,ENTAILMENT,0.980117917060852,0.0008722807979211211,0.019009703770279884,NEUTRAL,gen
"The hotel is in an excellent location, on a quiet side street just off the Piazza della Repubblica, close to the metro and a step-on, step-off city tour bus stop.","The chambers are roomy and neat, containing a recently refurbished restroom.",a,b,20,0.9976552724838257,0.0010469375411048532,0.001297744456678629,NEUTRAL,0.9888855218887329,0.0035306436475366354,0.007583905942738056,NEUTRAL,gen
"The hotel is in an excellent location, on a quiet side street just off the Piazza della Repubblica, close to the metro and a step-on, step-off city tour bus stop.","Although the bed wasn't particularly pleasant, the proprietor could converse in English fluently and provided us with restaurant tips.",a,b,20,0.9891421794891357,0.010005041025578976,0.0008527242462150753,NEUTRAL,0.6217169761657715,0.3750271499156952,0.0032558587845414877,NEUTRAL,gen
"The hotel is in an excellent location, on a quiet side street just off the Piazza della Repubblica, close to the metro and a step-on, step-off city tour bus stop.","Sadly, there isn't any free Wi-Fi connection.",a,b,20,0.8930718898773193,0.1050323024392128,0.0018959188601002097,NEUTRAL,0.3842812478542328,0.6110858917236328,0.004632854368537664,CONTRADICTION,gen
"The rooms in the hotel are spacious and clean, with a renovated bathroom.","

We were thrilled with our visit to the Oceania Hotel, which was suggested to us by Rick Steves.",a,b,20,0.9968808889389038,0.000637091405224055,0.002482001669704914,NEUTRAL,0.9963287711143494,0.0007844014908187091,0.0028868780937045813,NEUTRAL,gen
"The rooms in the hotel are spacious and clean, with a renovated bathroom.","It is conveniently located near the Piazza della Repubblica, next to the metro and just a few steps away from a hop on hop off city tour center.",a,b,20,0.9652323126792908,0.006092519499361515,0.028675178065896034,NEUTRAL,0.9976632595062256,0.0010345389600843191,0.0013021433260291815,NEUTRAL,gen
"The rooms in the hotel are spacious and clean, with a renovated bathroom.","The chambers are roomy and neat, containing a recently refurbished restroom.",a,b,20,0.01517903059720993,0.0017579937120899558,0.9830629825592041,ENTAILMENT,0.6948948502540588,0.0016475089360028505,0.303457647562027,NEUTRAL,gen
"The rooms in the hotel are spacious and clean, with a renovated bathroom.","Although the bed wasn't particularly pleasant, the proprietor could converse in English fluently and provided us with restaurant tips.",a,b,20,0.7445398569107056,0.25346052646636963,0.001999606378376484,NEUTRAL,0.09904778748750687,0.8989933729171753,0.0019588021095842123,CONTRADICTION,gen
"The rooms in the hotel are spacious and clean, with a renovated bathroom.","Sadly, there isn't any free Wi-Fi connection.",a,b,20,0.7916628122329712,0.2059258669614792,0.0024113859981298447,NEUTRAL,0.7213459014892578,0.27449044585227966,0.004163731820881367,NEUTRAL,gen
"The bed was not very comfortable, but the owner of the hotel spoke English well and provided recommendations for restaurants.","

We were thrilled with our visit to the Oceania Hotel, which was suggested to us by Rick Steves.",a,b,20,0.13324199616909027,0.8640583157539368,0.0026997083332389593,CONTRADICTION,0.07584641873836517,0.9197591543197632,0.004394371993839741,CONTRADICTION,gen
"The bed was not very comfortable, but the owner of the hotel spoke English well and provided recommendations for restaurants.","It is conveniently located near the Piazza della Repubblica, next to the metro and just a few steps away from a hop on hop off city tour center.",a,b,20,0.955224871635437,0.04113008826971054,0.0036450529005378485,NEUTRAL,0.9962426424026489,0.002785424469038844,0.000971900881268084,NEUTRAL,gen
"The bed was not very comfortable, but the owner of the hotel spoke English well and provided recommendations for restaurants.","The chambers are roomy and neat, containing a recently refurbished restroom.",a,b,20,0.12120725959539413,0.8756633400917053,0.0031294100917875767,CONTRADICTION,0.9517230987548828,0.04648923873901367,0.0017876906786113977,NEUTRAL,gen
"The bed was not very comfortable, but the owner of the hotel spoke English well and provided recommendations for restaurants.","Although the bed wasn't particularly pleasant, the proprietor could converse in English fluently and provided us with restaurant tips.",a,b,20,0.010360768996179104,0.000596603553276509,0.9890426993370056,ENTAILMENT,0.08865433186292648,0.000687282532453537,0.9106583595275879,ENTAILMENT,gen
"The bed was not very comfortable, but the owner of the hotel spoke English well and provided recommendations for restaurants.","Sadly, there isn't any free Wi-Fi connection.",a,b,20,0.5419324040412903,0.454459547996521,0.0036080048885196447,NEUTRAL,0.9695499539375305,0.016293808817863464,0.014156326651573181,NEUTRAL,gen
