SentenceA,SentenceB,Sample,A_B_neut,A_B_cont,A_B_ent,A_B_Label,B_A_neut,B_A_cont,B_A_ent,B_A_Label,Type
The hotel has conference rooms available to rent out for conferences and corporate events.,The hotel is especially memorable during a winter stay.,20,0.9977555871009827,0.0011975070228800178,0.0010468814289197326,neutral,0.997774064540863,0.000785714655648917,0.001440156134776771,neutral,ref
The hotel has conference rooms available to rent out for conferences and corporate events.,The room was okay but on the small side including the bathroom as well.,20,0.9975589513778687,0.0013525892281904817,0.0010884541552513838,neutral,0.9963729381561279,0.0015052652452141047,0.0021217886824160814,neutral,ref
The hotel has conference rooms available to rent out for conferences and corporate events.,After upgrading rooms to a suite this was absolutely fine and had a great view with modern decor.,20,0.9966995120048523,0.002559007378295064,0.0007414573337882757,neutral,0.9929779171943665,0.004445943981409073,0.0025760983116924763,neutral,ref
The hotel has conference rooms available to rent out for conferences and corporate events.,Whilst the breakfast and dinners are both quite expensive they're really great and tasty.,20,0.997215986251831,0.0017178277485072613,0.001066126162186265,neutral,0.9946488738059998,0.0031767336186021566,0.002174349967390299,neutral,ref
The hotel has conference rooms available to rent out for conferences and corporate events.,"But a coffee maker and coffee was not free of charge, which is unusual.",20,0.9966476559638977,0.002618128666654229,0.0007341565215028822,neutral,0.9860103130340576,0.001261052442714572,0.012728673405945301,neutral,ref
The hotel has conference rooms available to rent out for conferences and corporate events.,Whilst the toiletries were really great there was an issue with the toilet.,20,0.9008262753486633,0.08453676849603653,0.014636892825365067,neutral,0.7755839824676514,0.004811656661331654,0.21960438787937164,neutral,ref
"The location of this hotel makes it easy to access restaurants, the river and shops.",The hotel is especially memorable during a winter stay.,20,0.9977043271064758,0.0010707161854952574,0.0012249702122062445,neutral,0.9977935552597046,0.0009205100359395146,0.0012859692797064781,neutral,ref
"The location of this hotel makes it easy to access restaurants, the river and shops.",The room was okay but on the small side including the bathroom as well.,20,0.9974023103713989,0.0017925932770594954,0.0008051138138398528,neutral,0.8094580173492432,0.18735025823116302,0.003191686002537608,neutral,ref
"The location of this hotel makes it easy to access restaurants, the river and shops.",After upgrading rooms to a suite this was absolutely fine and had a great view with modern decor.,20,0.9971073269844055,0.002139998134225607,0.0007527461275458336,neutral,0.9977019429206848,0.0009598351316526532,0.0013382614124566317,neutral,ref
"The location of this hotel makes it easy to access restaurants, the river and shops.",Whilst the breakfast and dinners are both quite expensive they're really great and tasty.,20,0.9967039227485657,0.0016664108261466026,0.0016296396497637033,neutral,0.9977476000785828,0.0011583102168515325,0.001094076898880303,neutral,ref
"The location of this hotel makes it easy to access restaurants, the river and shops.","But a coffee maker and coffee was not free of charge, which is unusual.",20,0.9921934604644775,0.007123193237930536,0.0006832743529230356,neutral,0.8038729429244995,0.17086072266101837,0.025266330689191818,neutral,ref
"The location of this hotel makes it easy to access restaurants, the river and shops.",Whilst the toiletries were really great there was an issue with the toilet.,20,0.9497997760772705,0.04656532034277916,0.0036349419970065355,neutral,0.8745430111885071,0.035006966441869736,0.09045005589723587,neutral,ref
The rooms are a good size and well decorated.,The hotel is especially memorable during a winter stay.,20,0.9977813363075256,0.0010310877114534378,0.001187632791697979,neutral,0.9975710511207581,0.0007211100310087204,0.0017078639939427376,neutral,ref
The rooms are a good size and well decorated.,The room was okay but on the small side including the bathroom as well.,20,0.9352121353149414,0.050782460719347,0.014005384407937527,neutral,0.2623007595539093,0.7350305914878845,0.002668604953214526,contradiction,ref
The rooms are a good size and well decorated.,After upgrading rooms to a suite this was absolutely fine and had a great view with modern decor.,20,0.997729480266571,0.0007721344591118395,0.0014983778819441795,neutral,0.4917658865451813,0.0014023383846506476,0.5068317651748657,entailment,ref
The rooms are a good size and well decorated.,Whilst the breakfast and dinners are both quite expensive they're really great and tasty.,20,0.9963668584823608,0.0029372856952250004,0.0006958554731681943,neutral,0.9977935552597046,0.0008142389706335962,0.0013921986101195216,neutral,ref
The rooms are a good size and well decorated.,"But a coffee maker and coffee was not free of charge, which is unusual.",20,0.9885718822479248,0.010608265176415443,0.0008198065333999693,neutral,0.9872143268585205,0.008408299647271633,0.004377356264740229,neutral,ref
The rooms are a good size and well decorated.,Whilst the toiletries were really great there was an issue with the toilet.,20,0.987118124961853,0.012127391993999481,0.0007544711115770042,neutral,0.9748896956443787,0.020813923329114914,0.0042963880114257336,neutral,ref
The bathroom in the hotel was large and with a large bathtub.,The hotel is especially memorable during a winter stay.,20,0.9977414608001709,0.0009561632759869099,0.0013023322680965066,neutral,0.997852087020874,0.0010149626759812236,0.001132975798100233,neutral,ref
The bathroom in the hotel was large and with a large bathtub.,The room was okay but on the small side including the bathroom as well.,20,0.832632303237915,0.13038738071918488,0.0369802862405777,neutral,0.019499214366078377,0.9798178672790527,0.0006829042686149478,contradiction,ref
The bathroom in the hotel was large and with a large bathtub.,After upgrading rooms to a suite this was absolutely fine and had a great view with modern decor.,20,0.9978093504905701,0.0008283888455480337,0.001362321898341179,neutral,0.9977339506149292,0.0012093294644728303,0.0010566413402557373,neutral,ref
The bathroom in the hotel was large and with a large bathtub.,Whilst the breakfast and dinners are both quite expensive they're really great and tasty.,20,0.99744713306427,0.0017124218866229057,0.0008405102998949587,neutral,0.9642705321311951,0.030034737661480904,0.00569471949711442,neutral,ref
The bathroom in the hotel was large and with a large bathtub.,"But a coffee maker and coffee was not free of charge, which is unusual.",20,0.9902905821800232,0.008830159902572632,0.0008792413282208145,neutral,0.8694304823875427,0.0973229631781578,0.03324659541249275,neutral,ref
The bathroom in the hotel was large and with a large bathtub.,Whilst the toiletries were really great there was an issue with the toilet.,20,0.9973528385162354,0.0018336445791646838,0.000813527381978929,neutral,0.787480354309082,0.21031339466571808,0.002206220291554928,neutral,ref
Small touches like a chocolate on the pillow are also nice.,The hotel is especially memorable during a winter stay.,20,0.9978030323982239,0.0009630959248170257,0.0012338230153545737,neutral,0.9976820945739746,0.0012537960428744555,0.0010641078697517514,neutral,ref
Small touches like a chocolate on the pillow are also nice.,The room was okay but on the small side including the bathroom as well.,20,0.9953410625457764,0.0037570546846836805,0.0009019093704409897,neutral,0.9969837069511414,0.0022460389882326126,0.0007702979492023587,neutral,ref
Small touches like a chocolate on the pillow are also nice.,After upgrading rooms to a suite this was absolutely fine and had a great view with modern decor.,20,0.9921782612800598,0.006792108528316021,0.0010297036496922374,neutral,0.997639536857605,0.0012859492562711239,0.001074531814083457,neutral,ref
Small touches like a chocolate on the pillow are also nice.,Whilst the breakfast and dinners are both quite expensive they're really great and tasty.,20,0.993768572807312,0.005560174118727446,0.0006712310714647174,neutral,0.9974699020385742,0.00160582410171628,0.0009242748492397368,neutral,ref
Small touches like a chocolate on the pillow are also nice.,"But a coffee maker and coffee was not free of charge, which is unusual.",20,0.860636830329895,0.13735447824001312,0.0020086653530597687,neutral,0.9951802492141724,0.004119460470974445,0.0007003018981777132,neutral,ref
Small touches like a chocolate on the pillow are also nice.,Whilst the toiletries were really great there was an issue with the toilet.,20,0.8239754438400269,0.17313039302825928,0.002894133562222123,neutral,0.9974170923233032,0.0017201702576130629,0.0008626669878140092,neutral,ref
The hotel has a roof terrace for drinks.,The hotel is especially memorable during a winter stay.,20,0.9977589845657349,0.0009939747396856546,0.001246997038833797,neutral,0.9978644251823425,0.0009748887969180942,0.0011607620399445295,neutral,ref
The hotel has a roof terrace for drinks.,The room was okay but on the small side including the bathroom as well.,20,0.9941552877426147,0.004999761004000902,0.0008449408342130482,neutral,0.9173360466957092,0.0811871588230133,0.0014767837710678577,neutral,ref
The hotel has a roof terrace for drinks.,After upgrading rooms to a suite this was absolutely fine and had a great view with modern decor.,20,0.997570812702179,0.0011960366973653436,0.001233136048540473,neutral,0.9969056248664856,0.00164793711155653,0.0014464602572843432,neutral,ref
The hotel has a roof terrace for drinks.,Whilst the breakfast and dinners are both quite expensive they're really great and tasty.,20,0.9974017143249512,0.0015784204006195068,0.0010198581730946898,neutral,0.9922865629196167,0.006337098777294159,0.0013763013994321227,neutral,ref
The hotel has a roof terrace for drinks.,"But a coffee maker and coffee was not free of charge, which is unusual.",20,0.9964321851730347,0.0028189707081764936,0.0007488426053896546,neutral,0.9441061615943909,0.054184310138225555,0.0017095479415729642,neutral,ref
The hotel has a roof terrace for drinks.,Whilst the toiletries were really great there was an issue with the toilet.,20,0.8833677768707275,0.09847739338874817,0.018154799938201904,neutral,0.499106228351593,0.1415734589099884,0.3593203127384186,neutral,ref
Unfortunately the hotel is missing the availability of a pool.,The hotel is especially memorable during a winter stay.,20,0.898409366607666,0.09946256130933762,0.002128101885318756,neutral,0.43012404441833496,0.5675972104072571,0.0022786520421504974,contradiction,ref
Unfortunately the hotel is missing the availability of a pool.,The room was okay but on the small side including the bathroom as well.,20,0.985273540019989,0.013418530113995075,0.0013079249765723944,neutral,0.9445086121559143,0.04320916905999184,0.012282208539545536,neutral,ref
Unfortunately the hotel is missing the availability of a pool.,After upgrading rooms to a suite this was absolutely fine and had a great view with modern decor.,20,0.021512622013688087,0.9779791235923767,0.0005083018913865089,contradiction,0.6151735782623291,0.3819286823272705,0.002897717524319887,neutral,ref
Unfortunately the hotel is missing the availability of a pool.,Whilst the breakfast and dinners are both quite expensive they're really great and tasty.,20,0.9842925667762756,0.014577474445104599,0.0011299771722406149,neutral,0.478994220495224,0.5176501274108887,0.003355681197717786,contradiction,ref
