Sentence1,Sentence2,Sent1_entity,Sent2_entity,Sample,1_2_neut,1_2_cont,1_2_ent,1_2_Label,2_1_neut,2_1_cont,2_1_ent,2_1_Label,Type
This all suite hotel is flawless.,"

This hotel was too expensive for the level of cleanliness it provided.",a,b,0,0.9973893761634827,0.0013178401859477162,0.0012927348725497723,NEUTRAL,0.9589819312095642,0.03304200991988182,0.007976108230650425,NEUTRAL,ref
This all suite hotel is flawless.,"This hotel isn't in a desirable spot since it lies beyond the historic city center, which is where many of the popular sights are.",a,b,0,0.2554837763309479,0.7410840392112732,0.003432189580053091,CONTRADICTION,0.001618333044461906,0.9980740547180176,0.0003075679996982217,CONTRADICTION,ref
This all suite hotel is flawless.,"Although it was pleasant to be away from the busy city center, it would have been preferable to be closer to the main attractions.",a,b,0,0.9801701903343201,0.015708453953266144,0.0041213384829461575,NEUTRAL,0.6267080903053284,0.3693400025367737,0.0039519332349300385,NEUTRAL,ref
This all suite hotel is flawless.,Some of the personnel were impolite and uncooperative.,a,b,0,0.4994022250175476,0.4959103763103485,0.00468743359670043,NEUTRAL,0.05411234498023987,0.9414635896682739,0.00442400760948658,CONTRADICTION,ref
This all suite hotel is flawless.,"When staying at this hotel, you can enjoy the experience of eating your breakfast at the outdoor restaurant.",a,b,0,0.9895714521408081,0.001216583768837154,0.009211964905261993,NEUTRAL,0.9784474968910217,0.013644303195178509,0.007908225059509277,NEUTRAL,ref
This all suite hotel is flawless.,"If you are a Florida resident, you can inquire about a discounted rate for this wonderful stay.",a,b,0,0.9945083260536194,0.000979243079200387,0.004512473940849304,NEUTRAL,0.9938274025917053,0.0008976131794042885,0.005275017581880093,NEUTRAL,ref
This all suite hotel is flawless.,It is definitely worth taking a look at the pool and the hot tub.,a,b,0,0.989264965057373,0.0022600002121180296,0.008474988862872124,NEUTRAL,0.8932547569274902,0.09072098881006241,0.016024241223931313,NEUTRAL,ref
"Around the holidays season, the hotel was well decorated for X-mas with lovely Palm trees and Christmas lights.","

This hotel was too expensive for the level of cleanliness it provided.",a,b,0,0.9912999272346497,0.006588685791939497,0.002111434703692794,NEUTRAL,0.9751697182655334,0.01716575212776661,0.007664493750780821,NEUTRAL,ref
"Around the holidays season, the hotel was well decorated for X-mas with lovely Palm trees and Christmas lights.","This hotel isn't in a desirable spot since it lies beyond the historic city center, which is where many of the popular sights are.",a,b,0,0.6437909603118896,0.352851927280426,0.003357101231813431,NEUTRAL,0.9120845794677734,0.08548909425735474,0.002426283899694681,NEUTRAL,ref
"Around the holidays season, the hotel was well decorated for X-mas with lovely Palm trees and Christmas lights.","Although it was pleasant to be away from the busy city center, it would have been preferable to be closer to the main attractions.",a,b,0,0.9950407147407532,0.003909681923687458,0.0010496166069060564,NEUTRAL,0.9906156659126282,0.00641678087413311,0.0029675534460693598,NEUTRAL,ref
"Around the holidays season, the hotel was well decorated for X-mas with lovely Palm trees and Christmas lights.",Some of the personnel were impolite and uncooperative.,a,b,0,0.9326707720756531,0.06495864689350128,0.0023704988416284323,NEUTRAL,0.9518923163414001,0.01424548402428627,0.03386220335960388,NEUTRAL,ref
"Around the holidays season, the hotel was well decorated for X-mas with lovely Palm trees and Christmas lights.","When staying at this hotel, you can enjoy the experience of eating your breakfast at the outdoor restaurant.",a,b,0,0.9597412943840027,0.011508440598845482,0.028750332072377205,NEUTRAL,0.9900475740432739,0.004075074568390846,0.005877260584384203,NEUTRAL,ref
