Sentence1,Sentence2,Sent1_entity,Sent2_entity,Sample,1_2_neut,1_2_cont,1_2_ent,1_2_Label,2_1_neut,2_1_cont,2_1_ent,2_1_Label,Type
The hotel has conference rooms available to rent out for conferences and corporate events.,"

This hotel is located conveniently near restaurants, the river and shops, making it a great place to rent out for a conference or corporate event.",a,b,20,0.7321123480796814,0.0012019299902021885,0.2666856646537781,neutral,0.9974387884140015,0.0007818358135409653,0.0017793829319998622,neutral,ref
The hotel has conference rooms available to rent out for conferences and corporate events.,The rooms are roomy and nicely outfitted.,a,b,20,0.9956777691841125,0.0010601638350635767,0.003262070007622242,neutral,0.9972272515296936,0.001249781809747219,0.0015229227719828486,neutral,ref
The hotel has conference rooms available to rent out for conferences and corporate events.,"The bathrooms are especially large, some with bathtubs, and small amenities like a chocolate on the pillow make it feel especially homey.",a,b,20,0.9971019625663757,0.0013032278511673212,0.001594732515513897,neutral,0.9974302649497986,0.0013744112802669406,0.0011952912900596857,neutral,ref
The hotel has conference rooms available to rent out for conferences and corporate events.,"For refreshment, there is a roof terrace bar.",a,b,20,0.9915474057197571,0.005115651525557041,0.003336906898766756,neutral,0.9897350072860718,0.009129912592470646,0.0011350240092724562,neutral,ref
The hotel has conference rooms available to rent out for conferences and corporate events.,The only downside is the lack of a pool.,a,b,20,0.9947431087493896,0.00446954183280468,0.000787298777140677,neutral,0.9962224960327148,0.0030878903344273567,0.0006895437254570425,neutral,ref
"The location of this hotel makes it easy to access restaurants, the river and shops.","

This hotel is located conveniently near restaurants, the river and shops, making it a great place to rent out for a conference or corporate event.",a,b,20,0.009700782597064972,0.0005947515019215643,0.989704430103302,entailment,0.9907861948013306,0.0004179601965006441,0.008795886300504208,neutral,ref
"The location of this hotel makes it easy to access restaurants, the river and shops.",The rooms are roomy and nicely outfitted.,a,b,20,0.9976198077201843,0.0007699900888837874,0.0016101272776722908,neutral,0.9975159168243408,0.001166296424344182,0.0013177848886698484,neutral,ref
"The location of this hotel makes it easy to access restaurants, the river and shops.","The bathrooms are especially large, some with bathtubs, and small amenities like a chocolate on the pillow make it feel especially homey.",a,b,20,0.9974671602249146,0.0015902165323495865,0.0009426318574696779,neutral,0.9975841045379639,0.0012612941209226847,0.0011545985471457243,neutral,ref
"The location of this hotel makes it easy to access restaurants, the river and shops.","For refreshment, there is a roof terrace bar.",a,b,20,0.9976993203163147,0.0012194485170766711,0.0010812486289069057,neutral,0.9975632429122925,0.001446145004592836,0.0009906545747071505,neutral,ref
"The location of this hotel makes it easy to access restaurants, the river and shops.",The only downside is the lack of a pool.,a,b,20,0.7125691771507263,0.2856906056404114,0.0017402094090357423,neutral,0.9952837824821472,0.003991060424596071,0.0007251723436638713,neutral,ref
The rooms are a good size and well decorated.,"

This hotel is located conveniently near restaurants, the river and shops, making it a great place to rent out for a conference or corporate event.",a,b,20,0.9974155426025391,0.0008318540640175343,0.0017525481525808573,neutral,0.9969435334205627,0.0005661578034050763,0.002490237122401595,neutral,ref
The rooms are a good size and well decorated.,The rooms are roomy and nicely outfitted.,a,b,20,0.007283073849976063,0.0003738458326552063,0.9923431277275085,entailment,0.005338160786777735,0.0006474123802036047,0.9940144419670105,entailment,ref
The rooms are a good size and well decorated.,"The bathrooms are especially large, some with bathtubs, and small amenities like a chocolate on the pillow make it feel especially homey.",a,b,20,0.6458052396774292,0.003055428620427847,0.3511393368244171,neutral,0.9977338314056396,0.0008515789522789419,0.0014146205503493547,neutral,ref
The rooms are a good size and well decorated.,"For refreshment, there is a roof terrace bar.",a,b,20,0.997684121131897,0.0009941760217770934,0.0013217267114669085,neutral,0.9970813393592834,0.0021002842113375664,0.000818345753941685,neutral,ref
The rooms are a good size and well decorated.,The only downside is the lack of a pool.,a,b,20,0.8103687763214111,0.1880510300397873,0.0015801958506926894,neutral,0.996634304523468,0.0025819691363722086,0.000783773313742131,neutral,ref
The bathroom in the hotel was large and with a large bathtub.,"

This hotel is located conveniently near restaurants, the river and shops, making it a great place to rent out for a conference or corporate event.",a,b,20,0.9977866411209106,0.0011479760287329555,0.0010653791250661016,neutral,0.9970641732215881,0.0005419620429165661,0.0023938643280416727,neutral,ref
The bathroom in the hotel was large and with a large bathtub.,The rooms are roomy and nicely outfitted.,a,b,20,0.9976122379302979,0.0008129156776703894,0.0015748549485579133,neutral,0.6308038234710693,0.0017893511103466153,0.36740678548812866,neutral,ref
The bathroom in the hotel was large and with a large bathtub.,"The bathrooms are especially large, some with bathtubs, and small amenities like a chocolate on the pillow make it feel especially homey.",a,b,20,0.984398365020752,0.0007563579129055142,0.014845257624983788,neutral,0.9722364544868469,0.0017548981122672558,0.02600865811109543,neutral,ref
