Sentence1,Sentence2,Sent1_entity,Sent2_entity,Sample,1_2_neut,1_2_cont,1_2_ent,1_2_Label,2_1_neut,2_1_cont,2_1_ent,2_1_Label,Type
"

This hotel is situated conveniently close to restaurants, the river, and stores, and features conference rooms available to be rented out for meetings and other corporate occasions.","

Staying at the hotel during the winter season is a truly remarkable experience.",a,b,20,0.9969750642776489,0.0005152127123437822,0.002509674057364464,neutral,0.9978323578834534,0.0011776677565649152,0.0009899437427520752,neutral,ref
"

This hotel is situated conveniently close to restaurants, the river, and stores, and features conference rooms available to be rented out for meetings and other corporate occasions.","Initially, the room was a bit cramped, even the bathroom, but after changing to a suite it was perfect.",a,b,20,0.8701875805854797,0.12710249423980713,0.0027099642902612686,neutral,0.9967768788337708,0.002417637500911951,0.0008054481586441398,neutral,ref
"

This hotel is situated conveniently close to restaurants, the river, and stores, and features conference rooms available to be rented out for meetings and other corporate occasions.","With its modern design, the suite had a magnificent view from the window.",a,b,20,0.9943705201148987,0.0018688417039811611,0.0037606575060635805,neutral,0.9975631237030029,0.0013737931149080396,0.001063143601641059,neutral,ref
"

This hotel is situated conveniently close to restaurants, the river, and stores, and features conference rooms available to be rented out for meetings and other corporate occasions.","The breakfast and dinner options were expensive, but there was excellent taste and quality.",a,b,20,0.9864295721054077,0.008079943247139454,0.005490456707775593,neutral,0.9971625208854675,0.001546323299407959,0.001291122636757791,neutral,ref
"

This hotel is situated conveniently close to restaurants, the river, and stores, and features conference rooms available to be rented out for meetings and other corporate occasions.","Contrary to what would usually be expected, there was no free coffee maker or coffee available.",a,b,20,0.5834862589836121,0.4133536219596863,0.0031601348891854286,neutral,0.8793231248855591,0.11924566328525543,0.001431250013411045,neutral,ref
"

This hotel is situated conveniently close to restaurants, the river, and stores, and features conference rooms available to be rented out for meetings and other corporate occasions.",The toiletries were great but there,a,b,20,0.9763110280036926,0.006228037644177675,0.0174609012901783,neutral,0.951904296875,0.046583764255046844,0.001511994400061667,neutral,ref
The chambers are substantial and accommodatingly decorated.,"

Staying at the hotel during the winter season is a truly remarkable experience.",a,b,20,0.9972550272941589,0.0005427197902463377,0.00220231874845922,neutral,0.9945446252822876,0.0018347447039559484,0.003620685776695609,neutral,ref
The chambers are substantial and accommodatingly decorated.,"Initially, the room was a bit cramped, even the bathroom, but after changing to a suite it was perfect.",a,b,20,0.18074339628219604,0.8020278811454773,0.017228683456778526,contradiction,0.9860913157463074,0.0132919792085886,0.0006167106912471354,neutral,ref
The chambers are substantial and accommodatingly decorated.,"With its modern design, the suite had a magnificent view from the window.",a,b,20,0.8036402463912964,0.0033583971671760082,0.19300134479999542,neutral,0.9951128363609314,0.0032744654454290867,0.0016126970294862986,neutral,ref
The chambers are substantial and accommodatingly decorated.,"The breakfast and dinner options were expensive, but there was excellent taste and quality.",a,b,20,0.9761611819267273,0.006002926733344793,0.017835834994912148,neutral,0.9959824085235596,0.003169169882312417,0.0008483804413117468,neutral,ref
The chambers are substantial and accommodatingly decorated.,"Contrary to what would usually be expected, there was no free coffee maker or coffee available.",a,b,20,0.708911120891571,0.2849576771259308,0.006131142843514681,neutral,0.735627293586731,0.2625170648097992,0.0018556126160547137,neutral,ref
The chambers are substantial and accommodatingly decorated.,The toiletries were great but there,a,b,20,0.9461976289749146,0.033833038061857224,0.01996932551264763,neutral,0.7938657402992249,0.20337437093257904,0.002759848954156041,neutral,ref
"What's more, the restroom is roomy and has a spacious tub.","

Staying at the hotel during the winter season is a truly remarkable experience.",a,b,20,0.997779905796051,0.0010499695781618357,0.0011701355688273907,neutral,0.9937722086906433,0.0011353575391694903,0.005092407111078501,neutral,ref
"What's more, the restroom is roomy and has a spacious tub.","Initially, the room was a bit cramped, even the bathroom, but after changing to a suite it was perfect.",a,b,20,0.9854273796081543,0.01277854572981596,0.0017941523110494018,neutral,0.9939635396003723,0.005387804005295038,0.0006486149504780769,neutral,ref
"What's more, the restroom is roomy and has a spacious tub.","With its modern design, the suite had a magnificent view from the window.",a,b,20,0.9977788329124451,0.0011474827770143747,0.001073650666512549,neutral,0.9874833822250366,0.008532701060175896,0.003983895760029554,neutral,ref
"What's more, the restroom is roomy and has a spacious tub.","The breakfast and dinner options were expensive, but there was excellent taste and quality.",a,b,20,0.9975422620773315,0.0015807633753865957,0.0008770538843236864,neutral,0.9921209812164307,0.0062709590420126915,0.0016080361092463136,neutral,ref
